service_id,date,exception_type
MISTO_NScolL-S,20230913,1
MISTO_NScolL-S,20230914,1
MISTO_NScolL-S,20230915,1
MISTO_NScolL-S,20230916,1
MISTO_NScolL-S,20231102,1
MISTO_NScolL-S,20231227,1
MISTO_NScolL-S,20231228,1
MISTO_NScolL-S,20231229,1
MISTO_NScolL-S,20231230,1
MISTO_NScolL-V,20230406,1
MISTO_NScolL-V,20230407,1
MISTO_NScolL-V,20230411,1
MISTO_NScolL-V,20230608,1
MISTO_NScolL-V,20230609,1
MISTO_NScolL-V,20230612,1
MISTO_NScolL-V,20230613,1
MISTO_NScolL-V,20230614,1
MISTO_NScolL-V,20230615,1
MISTO_NScolL-V,20230616,1
MISTO_NScolL-V,20230619,1
MISTO_NScolL-V,20230620,1
MISTO_NScolL-V,20230621,1
MISTO_NScolL-V,20230622,1
MISTO_NScolL-V,20230623,1
MISTO_NScolL-V,20230626,1
MISTO_NScolL-V,20230627,1
MISTO_NScolL-V,20230628,1
MISTO_NScolL-V,20230629,1
MISTO_NScolL-V,20230630,1
MISTO_NScolL-V,20230703,1
MISTO_NScolL-V,20230704,1
MISTO_NScolL-V,20230705,1
MISTO_NScolL-V,20230706,1
MISTO_NScolL-V,20230707,1
MISTO_NScolL-V,20230710,1
MISTO_NScolL-V,20230711,1
MISTO_NScolL-V,20230712,1
MISTO_NScolL-V,20230713,1
MISTO_NScolL-V,20230714,1
MISTO_NScolL-V,20230717,1
MISTO_NScolL-V,20230718,1
MISTO_NScolL-V,20230719,1
MISTO_NScolL-V,20230720,1
MISTO_NScolL-V,20230721,1
MISTO_NScolL-V,20230724,1
MISTO_NScolL-V,20230725,1
MISTO_NScolL-V,20230726,1
MISTO_NScolL-V,20230727,1
MISTO_NScolL-V,20230728,1
MISTO_NScolL-V,20230731,1
MISTO_NScolL-V,20230801,1
MISTO_NScolL-V,20230802,1
MISTO_NScolL-V,20230803,1
MISTO_NScolL-V,20230804,1
MISTO_NScolL-V,20230807,1
MISTO_NScolL-V,20230808,1
MISTO_NScolL-V,20230809,1
MISTO_NScolL-V,20230810,1
MISTO_NScolL-V,20230811,1
MISTO_NScolL-V,20230814,1
MISTO_NScolL-V,20230816,1
MISTO_NScolL-V,20230817,1
MISTO_NScolL-V,20230818,1
MISTO_NScolL-V,20230821,1
MISTO_NScolL-V,20230822,1
MISTO_NScolL-V,20230823,1
MISTO_NScolL-V,20230824,1
MISTO_NScolL-V,20230825,1
MISTO_NScolL-V,20230828,1
MISTO_NScolL-V,20230829,1
MISTO_NScolL-V,20230830,1
MISTO_NScolL-V,20230831,1
MISTO_NScolL-V,20230901,1
MISTO_NScolL-V,20230904,1
MISTO_NScolL-V,20230905,1
MISTO_NScolL-V,20230906,1
MISTO_NScolL-V,20230907,1
MISTO_NScolL-V,20230908,1
MISTO_NScolL-V,20230911,1
MISTO_NScolL-V,20230912,1
MISTO_NScolL-V,20230913,1
MISTO_NScolL-V,20230914,1
MISTO_NScolL-V,20230915,1
MISTO_NScolL-V,20231102,1
MISTO_NScolL-V,20231201,1
MISTO_NScolL-V,20231227,1
MISTO_NScolL-V,20231228,1
MISTO_NScolL-V,20231229,1
MISTO_NScolMaV,20230407,1
MISTO_NScolMaV,20230411,1
MISTO_NScolMaV,20230609,1
MISTO_NScolMaV,20230613,1
MISTO_NScolMaV,20230616,1
MISTO_NScolMaV,20230620,1
MISTO_NScolMaV,20230623,1
MISTO_NScolMaV,20230627,1
MISTO_NScolMaV,20230630,1
MISTO_NScolMaV,20230704,1
MISTO_NScolMaV,20230707,1
MISTO_NScolMaV,20230711,1
MISTO_NScolMaV,20230714,1
MISTO_NScolMaV,20230718,1
MISTO_NScolMaV,20230721,1
MISTO_NScolMaV,20230725,1
MISTO_NScolMaV,20230728,1
MISTO_NScolMaV,20230801,1
MISTO_NScolMaV,20230804,1
MISTO_NScolMaV,20230808,1
MISTO_NScolMaV,20230811,1
MISTO_NScolMaV,20230818,1
MISTO_NScolMaV,20230822,1
MISTO_NScolMaV,20230825,1
MISTO_NScolMaV,20230829,1
MISTO_NScolMaV,20230901,1
MISTO_NScolMaV,20230905,1
MISTO_NScolMaV,20230908,1
MISTO_NScolMaV,20230912,1
MISTO_NScolMaV,20230915,1
MISTO_NScolMaV,20231229,1
MISTO_NScolS,20230408,1
MISTO_NScolS,20230610,1
MISTO_NScolS,20230617,1
MISTO_NScolS,20230624,1
MISTO_NScolS,20230701,1
MISTO_NScolS,20230708,1
MISTO_NScolS,20230715,1
MISTO_NScolS,20230722,1
MISTO_NScolS,20230729,1
MISTO_NScolS,20230805,1
MISTO_NScolS,20230812,1
MISTO_NScolS,20230819,1
MISTO_NScolS,20230826,1
MISTO_NScolS,20230902,1
MISTO_NScolS,20230909,1
MISTO_NScolS,20230916,1
MISTO_NScolS,20231202,1
MISTO_NScolS,20231230,1
MISTO_NscolL-Surb,20230406,1
MISTO_NscolL-Surb,20230407,1
MISTO_NscolL-Surb,20230408,1
MISTO_NscolL-Surb,20230411,1
MISTO_NscolL-Surb,20230608,1
MISTO_NscolL-Surb,20230609,1
MISTO_NscolL-Surb,20230610,1
MISTO_NscolL-Surb,20230612,1
MISTO_NscolL-Surb,20230613,1
MISTO_NscolL-Surb,20230614,1
MISTO_NscolL-Surb,20230615,1
MISTO_NscolL-Surb,20230616,1
MISTO_NscolL-Surb,20230617,1
MISTO_NscolL-Surb,20230619,1
MISTO_NscolL-Surb,20230620,1
MISTO_NscolL-Surb,20230621,1
MISTO_NscolL-Surb,20230622,1
MISTO_NscolL-Surb,20230623,1
MISTO_NscolL-Surb,20230624,1
MISTO_NscolL-Surb,20230626,1
MISTO_NscolL-Surb,20230627,1
MISTO_NscolL-Surb,20230628,1
MISTO_NscolL-Surb,20230629,1
MISTO_NscolL-Surb,20230630,1
MISTO_NscolL-Surb,20230701,1
MISTO_NscolL-Surb,20230703,1
MISTO_NscolL-Surb,20230704,1
MISTO_NscolL-Surb,20230705,1
MISTO_NscolL-Surb,20230706,1
MISTO_NscolL-Surb,20230707,1
MISTO_NscolL-Surb,20230708,1
MISTO_NscolL-Surb,20230710,1
MISTO_NscolL-Surb,20230711,1
MISTO_NscolL-Surb,20230712,1
MISTO_NscolL-Surb,20230713,1
MISTO_NscolL-Surb,20230714,1
MISTO_NscolL-Surb,20230715,1
MISTO_NscolL-Surb,20230717,1
MISTO_NscolL-Surb,20230718,1
MISTO_NscolL-Surb,20230719,1
MISTO_NscolL-Surb,20230720,1
MISTO_NscolL-Surb,20230721,1
MISTO_NscolL-Surb,20230722,1
MISTO_NscolL-Surb,20230724,1
MISTO_NscolL-Surb,20230725,1
MISTO_NscolL-Surb,20230726,1
MISTO_NscolL-Surb,20230727,1
MISTO_NscolL-Surb,20230728,1
MISTO_NscolL-Surb,20230729,1
MISTO_NscolL-Surb,20230828,1
MISTO_NscolL-Surb,20230829,1
MISTO_NscolL-Surb,20230830,1
MISTO_NscolL-Surb,20230831,1
MISTO_NscolL-Surb,20230901,1
MISTO_NscolL-Surb,20230902,1
MISTO_NscolL-Surb,20230904,1
MISTO_NscolL-Surb,20230905,1
MISTO_NscolL-Surb,20230906,1
MISTO_NscolL-Surb,20230907,1
MISTO_NscolL-Surb,20230908,1
MISTO_NscolL-Surb,20230909,1
MISTO_NscolL-Surb,20230911,1
MISTO_NscolL-Surb,20230912,1
MISTO_NscolL-Surb,20230913,1
MISTO_NscolL-Surb,20230914,1
MISTO_NscolL-Surb,20230915,1
MISTO_NscolL-Surb,20230916,1
